yearmonth,EBP
201008,-0.489363
201009,-0.085991
201010,-0.035421
201011,-0.155059
201012,-0.403172
201101,0.081907
201102,-0.217003
201103,-0.250326
201104,-0.216373
201105,-0.084545
201106,0.081981
201107,-0.020915
201108,-0.250424
201109,0.289268
201110,-0.306556
201111,0.382049
201112,0.10295
201201,0.030121
201202,-0.121284
201203,-0.529989
201204,-0.367213
201205,-0.350847
201206,-0.067985
